번호	날짜	휴일명
424	1981-09-12	추석
425	1981-10-01	국군의날
426	1981-10-03	개천절
427	1981-10-09	한글날
428	1981-12-25	성탄절
429	1982-01-01	신정
430	1982-01-02	신정
431	1982-01-03	신정
432	1982-03-01	3·1절
433	1982-04-05	식목일
434	1982-05-01	석가탄신일
435	1982-05-05	어린이날
436	1982-06-06	현충일
437	1982-07-17	제헌절
438	1982-08-15	광복절
439	1982-10-01	추석/국군의날
440	1982-10-03	개천절
441	1982-10-09	한글날
442	1982-12-25	성탄절
443	1983-01-01	신정
444	1983-01-02	신정
445	1983-01-03	신정
446	1983-03-01	3·1절
447	1983-04-05	식목일
448	1983-05-05	어린이날
449	1983-05-20	석가탄신일
450	1983-06-06	현충일
451	1983-07-17	제헌절
452	1983-08-15	광복절
453	1983-09-21	추석
454	1983-10-01	국군의날
455	1983-10-03	개천절
456	1983-10-09	한글날
457	1983-12-25	성탄절
458	1984-01-01	신정
459	1984-01-02	신정
460	1984-01-03	신정
461	1984-03-01	3·1절
462	1984-04-05	식목일
463	1984-05-05	어린이날
464	1984-05-08	석가탄신일
465	1984-06-06	현충일
466	1984-07-17	제헌절
467	1984-08-15	광복절
468	1984-09-10	추석
469	1984-10-01	국군의날
470	1984-10-03	개천절
471	1984-10-09	한글날
472	1984-12-25	성탄절
473	1985-01-01	신정
474	1985-01-02	신정
475	1985-01-03	신정
476	1985-02-20	민속의날
477	1985-03-01	3·1절
478	1985-04-05	식목일
479	1985-05-05	어린이날
480	1985-05-27	석가탄신일
481	1985-06-06	현충일
482	1985-07-17	제헌절
483	1985-08-15	광복절
484	1985-09-29	추석
485	1985-10-01	국군의날
486	1985-10-03	개천절
487	1985-10-09	한글날
488	1985-12-25	성탄절
489	1986-01-01	신정
490	1986-01-02	신정
491	1986-01-03	신정
492	1986-02-09	민속의날
493	1986-03-01	3·1절
494	1986-04-05	식목일
495	1986-05-05	어린이날
496	1986-05-16	석가탄신일
497	1986-06-06	현충일
498	1986-07-17	제헌절
499	1986-08-15	광복절
500	1986-09-18	추석
501	1986-09-19	추석
502	1986-10-01	국군의날
503	1986-10-03	개천절
504	1986-10-09	한글날
505	1986-12-25	성탄절
506	1987-01-01	신정
507	1987-01-02	신정
508	1987-01-03	신정
509	1987-01-29	민속의날
510	1987-03-01	3·1절
511	1987-04-05	식목일
512	1987-05-05	어린이날<br/>석가탄신일
513	1987-06-06	현충일
514	1987-07-17	제헌절
515	1987-08-15	광복절
516	1987-10-01	국군의날
517	1987-10-03	개천절
518	1987-10-07	추석
519	1987-10-08	추석
520	1987-10-09	한글날
521	1987-12-25	성탄절
522	1988-01-01	신정
523	1988-01-02	신정
524	1988-01-03	신정
525	1988-02-18	민속의날
526	1988-03-01	3·1절
527	1988-04-05	식목일
528	1988-05-05	어린이날
529	1988-05-23	석가탄신일
530	1988-06-06	현충일
531	1988-07-17	제헌절
532	1988-08-15	광복절
533	1988-09-25	추석
534	1988-09-26	추석
535	1988-10-01	국군의날
536	1988-10-03	개천절
537	1988-10-09	한글날
538	1988-12-25	성탄절
539	1989-01-01	신정
540	1989-01-02	신정
541	1989-01-03	신정
542	1989-02-05	설날
543	1989-02-06	설날
544	1989-02-07	설날
545	1989-03-01	3·1절
546	1989-05-05	어린이날
547	1989-05-12	석가탄신일
548	1989-06-06	현충일
549	1989-07-17	제헌절
550	1989-08-15	광복절
551	1989-09-13	추석
552	1989-09-14	추석
553	1989-09-15	추석
554	1989-10-01	국군의날
555	1989-10-03	개천절
556	1989-10-09	한글날
557	1989-12-25	성탄절
558	1990-01-01	신정
559	1990-01-02	신정
560	1990-01-26	설날
561	1990-01-27	설날
562	1990-01-28	설날
563	1990-03-01	3·1절
564	1990-04-05	식목일
565	1990-05-02	석가탄신일
566	1990-05-05	어린이날
567	1990-06-06	현충일
568	1990-07-17	제헌절
569	1990-08-15	광복절
570	1990-10-01	국군의날
571	1990-10-02	추석
572	1990-10-03	추석/개천절
573	1990-10-04	추석
574	1990-10-09	한글날
575	1990-12-25	성탄절
576	1991-01-01	신정
577	1991-01-02	신정
578	1991-02-14	설날
579	1991-02-15	설날
580	1991-02-16	설날
581	1991-03-01	3·1절
582	1991-04-05	식목일
583	1991-05-05	어린이날
584	1991-05-21	석가탄신일
585	1991-06-06	현충일
586	1991-07-17	제헌절
587	1991-08-15	광복절
588	1991-09-21	추석
589	1991-09-22	추석
590	1991-09-23	추석
591	1991-10-03	개천절
592	1991-12-25	성탄절
593	1992-01-01	신정
594	1992-01-02	신정
595	1992-02-03	설날
596	1992-02-04	설날
597	1992-02-05	설날
598	1992-03-01	3·1절
599	1992-04-05	식목일
600	1992-05-05	어린이날
601	1992-05-10	석가탄신일
602	1992-06-06	현충일
603	1992-07-17	제헌절
604	1992-08-15	광복절
605	1992-09-10	추석
606	1992-09-11	추석
607	1992-09-12	추석
608	1992-10-03	개천절
609	1992-12-25	성탄절
610	1993-01-01	신정
611	1993-01-02	신정
612	1993-01-22	설날
613	1993-01-23	설날
614	1993-01-24	설날
615	1993-03-01	3·1절
616	1993-04-05	식목일
617	1993-05-05	어린이날
618	1993-05-28	석가탄신일
619	1993-06-06	현충일
620	1993-07-17	제헌절
621	1993-08-15	광복절
622	1993-09-29	추석
623	1993-09-30	추석
624	1993-10-01	추석
625	1993-10-03	개천절
626	1993-12-25	성탄절
627	1994-01-01	신정
628	1994-01-02	신정
629	1994-02-09	설날
630	1994-02-10	설날
631	1994-02-11	설날
632	1994-03-01	3·1절
633	1994-04-05	식목일
634	1994-05-05	어린이날
635	1994-05-18	석가탄신일
636	1994-06-06	현충일
637	1994-07-17	제헌절
638	1994-08-15	광복절
639	1994-09-19	추석
640	1994-09-20	추석
641	1994-09-21	추석
642	1994-10-03	개천절
643	1994-12-25	성탄절
644	1995-01-01	신정
645	1995-01-02	신정
646	1995-01-30	설날
647	1995-01-31	설날
648	1995-02-01	설날
649	1995-03-01	3·1절
650	1995-04-05	식목일
651	1995-05-05	어린이날
652	1995-05-07	석가탄신일
653	1995-06-06	현충일
654	1995-07-17	제헌절
655	1995-08-15	광복절
656	1995-09-08	추석
657	1995-09-09	추석
658	1995-09-10	추석
659	1995-10-03	개천절
660	1995-12-25	성탄절
661	1996-01-01	신정
662	1996-01-02	신정
663	1996-02-18	설날
664	1996-02-19	설날
665	1996-02-20	설날
666	1996-03-01	3·1절
667	1996-04-05	식목일
668	1996-05-05	어린이날
669	1996-05-24	석가탄신일
670	1996-06-06	현충일
671	1996-07-17	제헌절
672	1996-08-15	광복절
673	1996-09-26	추석
674	1996-09-27	추석
675	1996-09-28	추석
676	1996-10-03	개천절
677	1996-12-25	성탄절
678	1997-01-01	신정
679	1997-01-02	신정
680	1997-02-07	설날
681	1997-02-08	설날
682	1997-02-09	설날
683	1997-03-01	3·1절
684	1997-04-05	식목일
685	1997-05-05	어린이날
686	1997-05-14	석가탄신일
687	1997-06-06	현충일
688	1997-07-17	제헌절
689	1997-08-15	광복절
690	1997-09-15	추석
691	1997-09-16	추석
692	1997-09-17	추석
693	1997-10-03	개천절
694	1997-12-25	성탄절
695	1998-01-01	신정
696	1998-01-02	신정
697	1998-01-27	설날
698	1998-01-28	설날
699	1998-01-29	설날
700	1998-03-01	3·1절
701	1998-04-05	식목일
702	1998-05-03	석가탄신일
703	1998-05-05	어린이날
704	1998-06-06	현충일
705	1998-07-17	제헌절
706	1998-08-15	광복절
707	1998-10-03	개천절
708	1998-10-04	추석
709	1998-10-05	추석
710	1998-10-06	추석
711	1998-12-25	성탄절
712	1999-01-01	신정
713	1999-02-15	설날
714	1999-02-16	설날
715	1999-02-17	설날
716	1999-03-01	3·1절
717	1999-04-05	식목일
718	1999-05-05	어린이날
719	1999-05-22	석가탄신일
720	1999-06-06	현충일
721	1999-07-17	제헌절
722	1999-08-15	광복절
723	1999-09-23	추석
724	1999-09-24	추석
725	1999-09-25	추석
726	1999-10-03	개천절
727	1999-12-25	성탄절
728	2000-01-01	신정
729	2000-02-04	설날
730	2000-02-05	설날
731	2000-02-06	설날
732	2000-03-01	3·1절
733	2000-04-05	식목일
734	2000-05-05	어린이날
735	2000-05-11	석가탄신일
736	2000-06-06	현충일
737	2000-07-17	제헌절
738	2000-08-15	광복절
739	2000-09-11	추석
740	2000-09-12	추석
741	2000-09-13	추석
742	2000-10-03	개천절
743	2000-12-25	성탄절
744	2001-01-01	신정
745	2001-01-23	설날
746	2001-01-24	설날
747	2001-01-25	설날
748	2001-03-01	3·1절
749	2001-04-05	식목일
750	2001-05-01	석가탄신일
751	2001-05-05	어린이날
752	2001-06-06	현충일
753	2001-07-17	제헌절
754	2001-08-15	광복절
755	2001-09-30	추석
756	2001-10-01	추석
757	2001-10-02	추석
758	2001-10-03	개천절
759	2001-12-25	성탄절
760	2002-01-01	신정
761	2002-02-11	설날
762	2002-02-12	설날
763	2002-02-13	설날
764	2002-03-01	3·1절
765	2002-04-05	식목일
766	2002-05-05	어린이날
767	2002-05-19	석가탄신일
768	2002-06-06	현충일
769	2002-07-17	제헌절
770	2002-08-15	광복절
771	2002-09-20	추석
772	2002-09-21	추석
773	2002-09-22	추석
774	2002-10-03	개천절
775	2002-12-25	성탄절
776	2003-01-01	신정
777	2003-01-31	설날
778	2003-02-01	설날
779	2003-02-02	설날
780	2003-03-01	3·1절
781	2003-04-05	식목일
782	2003-05-05	어린이날
783	2003-05-08	석가탄신일
784	2003-06-06	현충일
785	2003-07-17	제헌절
786	2003-08-15	광복절
787	2003-09-10	추석
788	2003-09-11	추석
789	2003-09-12	추석
790	2003-10-03	개천절
791	2003-12-25	성탄절
792	2004-01-01	신정
793	2004-01-21	설날
794	2004-01-22	설날
795	2004-01-23	설날
796	2004-03-01	3·1절
797	2004-04-05	식목일
798	2004-05-05	어린이날
799	2004-05-26	석가탄신일
800	2004-06-06	현충일
801	2004-07-17	제헌절
802	2004-08-15	광복절
803	2004-09-27	추석
804	2004-09-28	추석
805	2004-09-29	추석
806	2004-10-03	개천절
807	2004-12-25	성탄절
808	2005-01-01	신정
809	2005-02-08	설날
810	2005-02-09	설날
811	2005-02-10	설날
812	2005-03-01	3·1절
813	2005-04-05	식목일
814	2005-05-05	어린이날
815	2005-05-15	석가탄신일
816	2005-06-06	현충일
817	2005-07-17	제헌절
818	2005-08-15	광복절
819	2005-09-17	추석
820	2005-09-18	추석
821	2005-09-19	추석
822	2005-10-03	개천절
823	2005-12-25	성탄절
824	2006-01-01	신정
825	2006-01-28	설날
826	2006-01-29	설날
827	2006-01-30	설날
828	2006-03-01	3·1절
829	2006-05-05	어린이날<br/>석가탄신일
830	2006-06-06	현충일
831	2006-07-17	제헌절
832	2006-08-15	광복절
833	2006-10-03	개천절
834	2006-10-05	추석
835	2006-10-06	추석
836	2006-10-07	추석
837	2006-12-25	성탄절
838	2007-01-01	신정
839	2007-02-17	설날
840	2007-02-18	설날
841	2007-02-19	설날
842	2007-03-01	3·1절
843	2007-05-05	어린이날
844	2007-05-24	석가탄신일
845	2007-06-06	현충일
846	2007-07-17	제헌절
847	2007-08-15	광복절
848	2007-09-24	추석
849	2007-09-25	추석
850	2007-09-26	추석
851	2007-10-03	개천절
852	2007-12-25	성탄절
853	2008-01-01	신정
854	2008-02-06	설날
855	2008-02-07	설날
856	2008-02-08	설날
857	2008-03-01	3·1절
858	2008-05-05	어린이날
859	2008-05-12	석가탄신일
860	2008-06-06	현충일
861	2008-08-15	광복절
862	2008-09-13	추석
863	2008-09-14	추석
864	2008-09-15	추석
865	2008-10-03	개천절
866	2008-12-25	성탄절
867	2009-01-01	신정
868	2009-01-25	설날
869	2009-01-26	설날
870	2009-01-27	설날
871	2009-03-01	3·1절
872	2009-05-02	석가탄신일
873	2009-05-05	어린이날
874	2009-06-06	현충일
875	2009-08-15	광복절
876	2009-10-02	추석
877	2009-10-03	추석/개천절
878	2009-10-04	추석
879	2009-12-25	성탄절
880	2010-01-01	신정
881	2010-02-13	설날
882	2010-02-14	설날
883	2010-02-15	설날
884	2010-03-01	3·1절
885	2010-05-05	어린이날
886	2010-05-21	석가탄신일
887	2010-06-06	현충일
888	2010-08-15	광복절
889	2010-09-21	추석
890	2010-09-22	추석
891	2010-09-23	추석
892	2010-10-03	개천절
893	2010-12-25	성탄절
894	2011-01-01	신정
895	2011-02-02	설날
896	2011-02-03	설날
897	2011-02-04	설날
898	2011-03-01	3·1절
899	2011-05-05	어린이날
900	2011-05-10	석가탄신일
901	2011-06-06	현충일
902	2011-08-15	광복절
903	2011-09-11	추석
904	2011-09-12	추석
905	2011-09-13	추석
906	2011-10-03	개천절
907	2011-12-25	성탄절
908	2012-01-01	신정
909	2012-01-22	설날
910	2012-01-23	설날
911	2012-01-24	설날
912	2012-03-01	3·1절
913	2012-05-05	어린이날
914	2012-05-28	석가탄신일
915	2012-06-06	현충일
916	2012-08-15	광복절
917	2012-09-29	추석
918	2012-09-30	추석
919	2012-10-01	추석
920	2012-10-03	개천절
921	2012-12-25	성탄절
922	2013-01-01	신정
923	2013-02-09	설날
924	2013-02-10	설날
925	2013-02-11	설날
926	2013-03-01	3·1절
927	2013-05-05	어린이날
928	2013-05-17	석가탄신일
929	2013-06-06	현충일
930	2013-08-15	광복절
931	2013-09-18	추석
932	2013-09-19	추석
933	2013-09-20	추석
934	2013-10-03	개천절
935	2013-12-25	성탄절
936	2014-01-01	신정
937	2014-01-30	설날
938	2014-01-31	설날
939	2014-02-01	설날
940	2014-03-01	3·1절
941	2014-05-05	어린이날
942	2014-05-06	석가탄신일
943	2014-06-06	현충일
944	2014-08-15	광복절
945	2014-09-07	추석
946	2014-09-08	추석
947	2014-09-09	추석
948	2014-10-03	개천절
949	2014-12-25	성탄절
950	2015-01-01	신정
951	2015-02-18	설날
952	2015-02-19	설날
953	2015-02-20	설날
954	2015-03-01	3·1절
955	2015-05-05	어린이날
956	2015-05-25	석가탄신일
957	2015-06-06	현충일
958	2015-08-15	광복절
959	2015-09-26	추석
960	2015-09-27	추석
961	2015-09-28	추석
962	2015-10-03	개천절
